FIRSTOCCURRENCE,NODE,ORIGINALSEVERITY,X733SPECIFICPROB
2017-12-28 02:48,AXA426,Critical,Heartbeat Failure
2017-12-28 03:32,DOM020,Critical,Heartbeat Failure
2017-12-28 04:33,BVV241,Critical,Heartbeat Failure
2017-12-28 04:45,BVV241,Critical,Heartbeat Failure
2017-12-28 09:23,JSE037,Critical,Heartbeat Failure
2017-12-28 09:31,DOM025,Critical,Heartbeat Failure
2017-12-28 10:28,BVT236,Critical,Heartbeat Failure
2017-12-28 10:31,JKA103,Critical,Heartbeat Failure
2017-12-28 10:34,BVT236,Critical,Heartbeat Failure
2017-12-28 10:48,BVT209,Critical,Heartbeat Failure
2017-12-28 11:27,JSE051,Critical,Heartbeat Failure
2017-12-28 11:27,JSE015,Critical,Heartbeat Failure
2017-12-28 11:28,JSE016,Critical,Heartbeat Failure
2017-12-28 11:28,JSE041,Critical,Heartbeat Failure
2017-12-28 11:28,JSE047,Critical,Heartbeat Failure
2017-12-28 11:29,JSE014,Critical,Heartbeat Failure
2017-12-28 11:39,BVV241,Critical,Heartbeat Failure
2017-12-28 12:00,JSC034,Critical,Heartbeat Failure
2017-12-28 12:58,JCL002,Critical,Heartbeat Failure
2017-12-28 13:12,JSE018,Critical,Heartbeat Failure
2017-12-28 13:12,JSE021,Critical,Heartbeat Failure
2017-12-28 13:13,JMN056,Critical,Heartbeat Failure
2017-12-28 13:13,JMN033,Critical,Heartbeat Failure
2017-12-28 13:13,JSE024,Critical,Heartbeat Failure
2017-12-28 13:13,JSE022,Critical,Heartbeat Failure
2017-12-28 13:14,JMN022,Critical,Heartbeat Failure
2017-12-28 13:14,JMN015,Critical,Heartbeat Failure
2017-12-28 13:15,JMN028,Critical,Heartbeat Failure
2017-12-28 13:29,AXA414,Critical,Heartbeat Failure
2017-12-28 14:20,BVT236,Critical,Heartbeat Failure
2017-12-28 14:41,W_MNI902,Critical,Heartbeat Failure
2017-12-28 14:41,W_MNI905,Critical,Heartbeat Failure
2017-12-28 14:48,JSC022,Critical,Heartbeat Failure
2017-12-28 15:22,DOM040,Critical,Heartbeat Failure
2017-12-28 15:40,BVT236,Critical,Heartbeat Failure
2017-12-28 17:14,JSC022,Critical,Heartbeat Failure
2017-12-28 17:25,AXA420,Critical,Heartbeat Failure
2017-12-28 18:34,BVT235,Critical,Heartbeat Failure
2017-12-28 18:41,JSA057,Critical,Heartbeat Failure
2017-12-28 19:24,DOM030,Critical,Heartbeat Failure
2017-12-28 19:37,JSA057,Critical,Heartbeat Failure
2017-12-28 19:44,JMN008,Critical,Heartbeat Failure
2017-12-28 19:51,JMN008,Critical,Heartbeat Failure
2017-12-28 20:00,JMN008,Critical,Heartbeat Failure
2017-12-28 20:06,JMN008,Critical,Heartbeat Failure
2017-12-28 20:16,JKAM03,Critical,Heartbeat Failure
2017-12-28 21:57,BVT215,Critical,Heartbeat Failure
